subset,class,label,filename,path
train,OK,0,NAPLES_BLACK_20260706_111850_213173_OK.jpg,C:\SVC_INSPECAO_USB_GIT\datasets\NAPLES_BLACK_AUG200\OK\NAPLES_BLACK_20260706_111850_213173_OK.jpg
train,OK,0,NAPLES_BLACK_20260706_085854_202693_OK.jpg,C:\SVC_INSPECAO_USB_GIT\datasets\NAPLES_BLACK_AUG200\OK\NAPLES_BLACK_20260706_085854_202693_OK.jpg
train,OK,0,AUG_OK_0177_from_NAPLES_BLACK_20260706_110909_857812_OK.jpg,C:\SVC_INSPECAO_USB_GIT\datasets\NAPLES_BLACK_AUG200\OK\AUG_OK_0177_from_NAPLES_BLACK_20260706_110909_857812_OK.jpg
train,OK,0,NAPLES_BLACK_20260706_110752_836964_OK.jpg,C:\SVC_INSPECAO_USB_GIT\datasets\NAPLES_BLACK_AUG200\OK\NAPLES_BLACK_20260706_110752_836964_OK.jpg
train,OK,0,NAPLES_BLACK_20260706_111109_296951_OK.jpg,C:\SVC_INSPECAO_USB_GIT\datasets\NAPLES_BLACK_AUG200\OK\NAPLES_BLACK_20260706_111109_296951_OK.jpg
train,OK,0,NAPLES_BLACK_20260706_085724_829194_OK.jpg,C:\SVC_INSPECAO_USB_GIT\datasets\NAPLES_BLACK_AUG200\OK\NAPLES_BLACK_20260706_085724_829194_OK.jpg
train,OK,0,NAPLES_BLACK_20260706_105056_422974_OK.jpg,C:\SVC_INSPECAO_USB_GIT\datasets\NAPLES_BLACK_AUG200\OK\NAPLES_BLACK_20260706_105056_422974_OK.jpg
train,OK,0,NAPLES_BLACK_20260706_104643_752871_OK.jpg,C:\SVC_INSPECAO_USB_GIT\datasets\NAPLES_BLACK_AUG200\OK\NAPLES_BLACK_20260706_104643_752871_OK.jpg
train,OK,0,NAPLES_BLACK_20260706_095059_779248_OK.jpg,C:\SVC_INSPECAO_USB_GIT\datasets\NAPLES_BLACK_AUG200\OK\NAPLES_BLACK_20260706_095059_779248_OK.jpg
train,OK,0,NAPLES_BLACK_20260706_104813_466688_OK.jpg,C:\SVC_INSPECAO_USB_GIT\datasets\NAPLES_BLACK_AUG200\OK\NAPLES_BLACK_20260706_104813_466688_OK.jpg
train,OK,0,NAPLES_BLACK_20260706_104633_343711_OK.jpg,C:\SVC_INSPECAO_USB_GIT\datasets\NAPLES_BLACK_AUG200\OK\NAPLES_BLACK_20260706_104633_343711_OK.jpg
